farmer_id;propriedade ;profile;sub_basin;nb_pumps
7;CooperFormoso;CI;DIRF;2
9;CooperGran;CP;DIRF;4
8;CooperJava;CP;DIRF;7
32;Faz São José I;NC;Urubu;1
37;Fazenda Arco Íris;CI;Urubu;2
35;Fazenda Boa Esperança;CP;Urubu;2
34;Fazenda Bom Jesus;NC;Urubu;1
27;Fazenda Canaã;CI;Formoso;2
40;Fazenda Cheguei;NC;Urubu;1
22;Fazenda Diamante;NC;Formoso;2
15;Fazenda Dois Rios;CI;Formoso;3
21;Fazenda Dolores;NC;Formoso;3
31;Fazenda Dona Carolina;NC;Urubu;2
39;Fazenda Estância do Lago;CP;Urubu;1
19;Fazenda Estância Terra Negra;CP;Formoso;4
41;Fazenda Fortaleza;CI;Urubu;2
12;Fazenda Frutac;CI;Formoso;7
23;Fazenda II de Abril;CI;Formoso;1
13;Fazenda Ilha do Formoso;CI;Formoso;1
25;Fazenda Ilha Verde;CI;Formoso;4
26;Fazenda Ilha Verde II;CI;Formoso;1
52;Fazenda Joia;NC;Urubu;1
5;Fazenda Lago Verde;NC;Duere;1
17;Fazenda Luiza;CP;Urubu;4
18;Fazenda Modelo;CI;Formoso;2
47;Fazenda Nova Aliança I;NC;Urubu;1
46;Fazenda Nova Aliança II;NC;Urubu;1
24;Fazenda Patizal/Unigel;CI;Formoso;1
33;Fazenda Porto Alegre;NC;Urubu;2
20;Fazenda Praia Alta;CP;Formoso;2
48;Fazenda Progresso;NC;Urubu;1
38;Fazenda Recanto Dourado;CI;Urubu;1
14;Fazenda Rio Formoso;CI;Formoso;4
30;Fazenda Santa Cruz;CI;Formoso;1
3;Fazenda Santa Luzia;NC;Duere;1
16;Fazenda Santa Maria;NC;Urubu;3
43;Fazenda Santa Rita;CI;Urubu;2
44;Fazenda Santo Antônio I;CI;Urubu;1
1;Fazenda São Bento;NC;Duere;1
2;Fazenda São Bento II;NC;Duere;1
45;Fazenda São João II;CP;Urubu;1
51;Fazenda São Miguel;NC;Urubu;1
49;Fazenda Tartaruga;NC;Urubu;3
6;Fazenda Três Fronteiras;NC;Duere;2
4;Fazenda Tupambae;NC;Duere;1
36;Fazenda Vitória;CI;Urubu;1
11;Fazenda Xavante_X;CI;Xavante;2
42;Lago Verde;NC;Urubu;4
28;Natyre Agrícola Ltda.;CI;Formoso;1
50;São Bento;CI;Urubu;1
10;Sementes Vale do Javaés;CP;DIRF;1
29;Siganna;NC;Formoso;1
53;Fazenda Xavante_F;CI;Formoso;2
