seca2016-2022;Urubu_media;Urubu_max;Urubu_min;DIRF_med;DIRF_max;DIRF_min;Formoso_med;Formoso_max;Formoso_min;Duere_med;Duere_max;Duere_min;Xavante_med;Xavante_max;Xavante_min
30/abr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/mai;509.49621;555.05206;467.4583;433.4285714;608;307;534.3673633;687.1929;367.94522;354.83958;383.125;302.9479;544.5286375;658.34375;416.4375
02/mai;503.8506867;541.23956;463.6354;427.8571429;605;307;552.542042;683.5084;337.94565;349.54375;379.78125;296.03125;538.51179;651.48956;412.75555
03/mai;496.49004;526.59375;460.09375;422;600;306;545.992814;678.00116;344.5862;343.441692;378.01053;291.125;531.8567725;643.2708;407.4271
04/mai;488.7361;513.21875;457.28125;415.5714286;595;300;537.804146;671.05347;342.8925;335.995828;375.7396;287.7604;525.08242;637.9655;399.98914
05/mai;482.2189033;503.3646;455.03125;409.5714286;586;296;531.980294;674.49915;340.44446;329.285422;372.65625;285.0521;515.507215;624.0909;391.76086
06/mai;476.9583333;495.6354;453.5625;403.4285714;574;292;530.21499;692.7325;343.2903;325.056256;369.7396;282.2604;508.1757125;616.15216;388.21738
07/mai;472.2291933;489.2396;451.78128;397;558;288;519.363214;689.297;323.17023;320.55834;367.5521;277.33334;515.222456;607.5;382.02274
08/mai;468.7154133;484.1771;451.92706;389;538;280;509.462626;684.4132;309.84784;315.106252;366.10416;268;505.36666;599.9167;374.83334
09/mai;474.3576467;479.7396;465.375;380.8571429;517;273;475.4593267;685.0901;314.6889;310.869738;364.3913;258.6979;499.325092;591.875;369.53262
10/mai;493.81172;536.8302;460.8854;372.8571429;496;266;465.6628633;681.796;300.74738;309.89375;361.8854;250.78125;507.18333;641.375;360.5625
11/mai;497.87069;545.3125;456.83698;363.7142857;479;258;456.31188;671.6428;296.96875;301.2429825;360.32608;222.40625;497.906252;633.7292;353.0104
12/mai;496.7526775;551.21875;453.89612;358.8571429;467;252;462.93752;660.6872;279.54166;294.457815;359.6125;216.9896;488.58335;626.5417;344.3125
13/mai;492.5524775;550.17706;444.67368;352.8571429;455;249;451.052888;649.32605;269.74698;297.2838575;357.0521;224.14583;477.80832;617.42706;331.8854
14/mai;488.63021;546.42706;438.28125;346.1428571;445;244;441.846572;637.32886;264.19754;297.3092175;359.6771;224.60417;468.954204;610.30206;328.7604
15/mai;482.3823925;541.23956;433.625;339.8571429;437;235;427.49156;624.4149;234.4375;293.866855;359.47916;215.28127;440.414075;606.38544;319.0625
16/mai;478.4895875;537.73956;428.3646;335.5714286;430;228;420.575838;610.5012;239.14583;291.7369825;357.375;214.88542;452.336222;602.9792;317.6146
17/mai;476.697915;534.0625;423.54166;331;423;225;408.645886;595.28564;228.38542;286.39062;356.5729;201.40625;444.493832;596.86456;309.0729
18/mai;476.64515;532.78125;422.29166;326.1428571;417;222;398.31006;579.0598;219.8125;288.5677125;358.09375;208.57292;437.347922;596.1667;303.97916
19/mai;476.45312;530.7083;426.33334;323.1428571;417;218;389.358872;563.7808;214.75;289.89324;350.9271;225.01042;430.941662;590.96875;303.41666
20/mai;477.537925;528.5833;429.4896;319.2857143;416;214;382.526028;547.2218;200.16667;286.7764875;341.59375;234.52083;423.79792;579.8125;304.9479
21/mai;480.893245;524.32294;433.3646;316.5714286;415;214;371.83419;528.0996;193.77083;287.3463525;350.14584;236.15623;417.79584;570.63544;304.77084
22/mai;484.3203;520.40625;436.28125;312.8571429;412;209;365.891475;508.75897;189.27083;287.924475;354.75;235.6979;412.149998;565.75;304.52084
23/mai;491.2213625;530.9792;436.04166;308.8571429;409;202;351.217785;489.8346;180.76042;285.7109375;348.65625;233.43748;401.718754;553.4792;289.54166
24/mai;497.226565;533.6667;437.10416;305.2857143;404;202;339.2484875;471.5356;172.21875;279.81771;341.59375;228.17708;396.19791;551.0625;289.2604
25/mai;504.416665;539.1042;441.7083;301.7142857;400;200;308.8635767;454.27823;167.46875;275.11459;339.83334;220.1875;389.12648;542.05206;281.20834
26/mai;508.57584;539.70966;443.9479;297;396;196;325.189865;439.56046;179.73958;267.8585375;341.8125;218.66667;400.4090325;536.8542;280.0521
27/mai;511.90586;539;442.9479;291.8571429;385;190;287.134086;428.8229;165;259.471032;342.45834;206.80208;392.4160775;523.69794;271.5521
28/mai;512.19792;538.01044;442.0625;286.1428571;378;186;278.263592;417.29166;149.27083;254.45208;343.08334;196.14583;375.8333375;473.84375;266.96875
29/mai;509.674475;542.9375;442.9479;280.7142857;371;184;270.404708;406.94794;137.72917;251.274704;343.9479;195.57143;364.671875;441.875;265.1875
30/mai;507.6718825;544.94794;442.15625;274.8571429;366;178;266.375014;398.7917;130.1875;246.283144;345.21875;192.11363;363.143015;450.9158;263.625
31/mai;505.851565;544.05206;442.86456;269.7142857;363;176;267.81875;389.53125;140.32292;238.239068;347.33334;188.27711;358.6302125;445.70834;260.22916
01/jun;504.23695;541.48956;443.07288;266.4285714;354;174;265.014694;382.34375;142.70833;246.6510475;347.83334;200.89583;353.03386;436.02084;258.3854
02/jun;504.176275;539.19794;439.0104;261.1428571;347;169;256.667616;374.58334;132.60417;245.24094;346.5625;207.21739;346.8729675;426.58334;250.61458
03/jun;503.72391;538.22894;432.2396;257.2857143;341;168;248.7229128;363.95834;120.229164;242.018975;346.60715;196.42708;342.4375;420.4375;247.25
04/jun;501.4036375;538.21875;424.17706;253.1428571;335;169;247.9937488;352.96875;114.229164;244.2395825;349;175.61458;334.632815;409.08334;239.82292
05/jun;499.72135;537.0625;418.1979;249.4285714;330;167;243.404172;343.0521;112.0625;244.6067725;349.89584;170.4375;328.3932275;400.0625;237.125
06/jun;497.2526225;537.53125;409.8021;245.8571429;326;162;242.531248;331.72916;139.75;242.63281;350.35416;171.6875;325.791665;397.53125;235.65625
07/jun;495.04395;538.28;403.88544;242.2857143;322;160;232.4791672;320.09375;126.052086;241.593745;351.4479;175.125;323.317705;399.6875;232.75
08/jun;480.1180633;524.76044;404.03125;238.2857143;316;158;222.43333;312.03125;118.4375;232.6432275;353.41666;155.47917;320.92448;395.65625;229.86458
09/jun;479.02083;524.3333;405.57294;234.7142857;310;155;218.829352;303.47916;111.63636;224.64062;355.1354;130.85417;312.3459725;366.92554;230.40625
10/jun;478.26043;523.53125;406.2917;230.5714286;304;153;214.3479188;299.9896;103.510414;216.1119775;356.60416;111.15625;295.9947925;358.96875;230.26042
11/jun;477.8178067;522.5263;406.53128;226.8571429;298;150;212.62708;299.9479;102.6875;209.7578125;358.28125;105.8125;290.000005;351.7396;223.94792
12/jun;476.1874933;522.3333;402.95834;224;293;149;206.9020808;290.79166;98.885414;204.04948;357.89584;97.40625;284.98438;349.29166;217.3021
13/jun;474.0510333;521.25;397.20834;220.4285714;287;146;210.4625012;287.4479;110.302086;200.8671875;355.70834;92.125;279.8333375;349.7396;212.16666
14/jun;472.9722467;519.3542;394.4896;217.1428571;282;142;207.0374988;274.46875;102.916664;198.018235;353.5521;84.84375;276.989135;344.8646;218.70653
15/jun;483.06342;519.7708;397.1875;214.8571429;277;139;204.71875;266.625;108.0625;182.546486;297.37344;81.229164;273.8880225;344.20834;214.375
16/jun;480.61718;521.2083;398.41666;212;273;138;198.3416648;263.10416;90.604164;162.5167015;220.16667;79.270836;270.1692725;336.5521;215.60417
17/jun;478.3958475;523.2917;399.28125;209.5714286;266;141;192.7020812;258.47916;81.864586;162.370416;224.15625;75.416664;264.5703075;329.6979;210.46875
18/jun;476.2773975;522.63043;400.1771;207.4285714;260;143;197.26667;264.8021;86;162.844735;226.30208;74.5625;260.50261;326.33334;203.07292
19/jun;471.1822975;521.40625;392.77084;205.2857143;255;146;189.7044968;248.21875;81.885414;164.1766872;225.17708;74.552086;255.3018275;319.78125;203.6354
20/jun;462.963535;517.11456;375.7604;201.5714286;250;141;180.2624988;245.65625;71.510414;161.298064;216.67708;74.65625;256.622395;319.20834;206.82292
21/jun;457.11978;511.75;365.9375;199.8571429;252;142;180.0666656;256.21875;61.385418;158.679634;210.0625;74.46875;257.54427;319.64584;214.13542
22/jun;454.552085;510;368.25;196.5714286;242;141;188.3423896;295.04166;55.729168;156.25252;204.33333;74.40625;247.104165;311.40625;194.70833
23/jun;450.526045;510;367.83334;195.1428571;244;138;187.470838;298.6146;55.65625;156.8462988;201.90625;77.291664;247.8359375;309.72916;203.28125
24/jun;446.69203;508.18478;368.4479;192.8571429;241;136;185.9321524;299.2604;51.583332;156.076368;195.73958;84.375;242.229165;308.35416;206.625
25/jun;442.4401125;504.8542;368.97916;191.1428571;239;135;179.166666;261.96875;54.5625;153.3693472;191.9375;84.364586;230.489585;307.625;193.5625
26/jun;435.20834;503.57294;359.4896;188.2857143;236;131;176.8669404;265.78262;51.520832;149.29375;186.27083;82.416664;228.3619825;301.8646;192.625
27/jun;425.67448;500.20834;341.89584;186;231;130;180.647918;276.5;59.4375;145.7270844;178.79167;84.458336;223.1901;298.5729;183.96875
