Streamflow (below node or reach listed)
"Scenario: MySimulation19, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
01/07/2018; ;2.27066;2.27066;1.15011;1.15011;1.26217;1.26217;0;0;0.126217;0;1.99534;0.126217;11.0563;11.0563;10.4468;10.4468;10.5078;4.65981;10.5078
02/07/2018; ;2.25659;2.25659;1.20617;1.20617;1.31121;1.31121;0;0;0.131121;0;1.75101;0.131121;10.9412;10.9412;10.8025;10.8025;10.8164;4.08921;10.8164
03/07/2018; ;2.2423;2.2423;1.25816;1.25816;1.35658;1.35658;0;0;0.135658;0;1.90103;0.135658;10.8242;10.8242;10.5014;10.5014;10.5337;4.43955;10.5337
04/07/2018; ;2.22878;2.22878;1.11667;1.11667;1.22788;1.22788;0;0;0.122788;0;1.91121;0.122788;10.6947;10.6947;10.4029;10.4029;10.4321;4.46332;10.4321
05/07/2018; ;2.21579;2.21579;0.823766;0.823766;0.962968;0.962968;0;0;0.0962968;0;1.86671;0.0962968;10.5558;10.5558;9.896;9.896;9.96198;4.35941;9.96198
06/07/2018; ;2.20448;2.20448;1.19374;1.19374;1.29482;1.29482;0;0;0.129482;0;1.62976;0.129482;10.4879;10.4879;9.92089;9.92089;9.97759;3.80605;9.97759
07/07/2018; ;2.19331;2.19331;1.01571;1.01571;1.13347;1.13347;0;0;0.113347;0;1.34834;0.113347;10.3709;10.3709;10.2179;10.2179;10.2332;3.14883;10.2332
08/07/2018; ;2.18138;2.18138;1.16956;1.16956;1.27074;1.27074;0;0;0.127074;0;1.05923;0.127074;10.2787;10.2787;10.0834;10.0834;10.1029;2.47367;10.1029
09/07/2018; ;2.16981;2.16981;1.29584;1.29584;1.38324;1.38324;0;0;0.138324;0;0.938681;0.138324;10.1867;10.1867;9.734;9.734;9.77928;2.19214;9.77928
10/07/2018; ;2.15826;2.15826;1.14879;1.14879;1.24974;1.24974;0;0;0.124974;0.00310345;0.897522;0.124974;10.07;10.07;9.62092;9.62092;9.66584;2.09602;9.66584
11/07/2018; ;2.14709;2.14709;1.36589;1.36589;1.44401;1.44401;0;0;0.144401;0;0.900871;0.144401;9.98885;9.98885;9.62333;9.62333;9.65988;2.10384;9.65988
12/07/2018; ;2.13669;2.13669;1.15893;1.15893;1.2567;1.2567;0;0;0.12567;0;0.86369;0.12567;9.87493;9.87493;9.6618;9.6618;9.68311;2.01701;9.68311
13/07/2018; ;2.12654;2.12654;1.10971;1.10971;1.21139;1.21139;0;0;0.121139;0;0.860726;0.121139;9.77705;9.77705;9.50168;9.50168;9.52922;2.01009;9.52922
14/07/2018; ;2.11612;2.11612;1.03618;1.03618;1.14417;1.14417;0;0;0.114417;0;0.791403;0.114417;9.67497;9.67497;9.37018;9.37018;9.40066;1.8482;9.40066
15/07/2018; ;2.10596;2.10596;1.17118;1.17118;1.26466;1.26466;0;0;0.126466;0;0.752097;0.126466;9.59354;9.59354;9.21215;9.21215;9.25029;1.7564;9.25029
16/07/2018; ;2.09613;2.09613;1.244;1.244;1.32922;1.32922;0;0;0.132922;1.48921;0.840627;0.132922;9.50894;9.50894;9.18576;9.18576;9.21808;1.96315;9.21808
17/07/2018; ;2.08645;2.08645;1.02992;1.02992;1.13558;1.13558;0;0;0.113558;0;0.902854;0.113558;9.39903;9.39903;8.96092;8.96092;9.00473;2.10847;9.00473
18/07/2018; ;2.07703;2.07703;0.773388;0.773388;0.903751;0.903751;0;0;0.0903751;0;0.886325;0.0903751;9.28827;9.28827;9.20189;9.20189;9.21052;2.06987;9.21052
19/07/2018; ;2.06791;2.06791;1.42854;1.42854;1.49247;1.49247;0;0;0.149247;0;0.837344;0.149247;9.26221;9.26221;8.56916;8.56916;8.63847;1.95549;8.63847
20/07/2018; ;2.05918;2.05918;1.28668;1.28668;1.36393;1.36393;0;0;0.136393;0;0.799196;0.136393;9.16638;9.16638;8.54222;8.54222;8.60463;1.86639;8.60463
21/07/2018; ;2.05051;2.05051;1.13113;1.13113;1.22307;1.22307;0;0;0.122307;0;0.668022;0.122307;9.06982;9.06982;9.06982;9.06982;9.06982;1.56006;9.06982
22/07/2018; ;2.04186;2.04186;0.958349;0.958349;1.0667;1.0667;0;0;0.10667;0;0.659362;0.10667;8.97192;8.97192;8.78984;8.78984;8.80805;1.53984;8.80805
23/07/2018; ;2.03337;2.03337;1.11024;1.11024;1.20255;1.20255;0;0;0.120255;0;0.709339;0.120255;8.90433;8.90433;8.42861;8.42861;8.47618;1.65655;8.47618
