Streamflow (below node or reach listed)
"Scenario: Reference, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
01/07/2018; ;3.22403;3.22403;1.66965;1.66965;1.82509;1.82509;0;0;0.182509;0;1.99534;0.182509;11.1126;11.1126;10.8749;10.8749;10.8987;4.65981;10.8987
02/07/2018; ;3.21545;3.21545;1.94973;1.94973;2.0763;2.0763;0;0;0.20763;0;1.75101;0.20763;11.0177;11.0177;10.3777;10.3777;10.4417;4.08921;10.4417
03/07/2018; ;3.20656;3.20656;1.80206;1.80206;1.94251;1.94251;0;0;0.194251;0;1.90103;0.194251;10.8828;10.8828;10.1604;10.1604;10.2326;4.43955;10.2326
04/07/2018; ;3.19823;3.19823;1.35707;1.35707;1.54119;1.54119;0;0;0.154119;0;1.91121;0.154119;10.726;10.726;10.5745;10.5745;10.5897;4.46332;10.5897
05/07/2018; ;3.19024;3.19024;2.03432;2.03432;2.14991;2.14991;0;0;0.214991;0;1.86671;0.214991;10.6745;10.6745;10.4472;10.4472;10.4699;4.35941;10.4699
06/07/2018; ;3.18365;3.18365;1.64889;1.64889;1.80237;1.80237;0;0;0.180237;0;1.62976;0.180237;10.5386;10.5386;9.88451;9.88451;9.94993;3.80605;9.94993
07/07/2018; ;3.17707;3.17707;1.75427;1.75427;1.89655;1.89655;0;0;0.189655;0;1.34834;0.189655;10.4472;10.4472;9.92391;9.92391;9.97624;3.14883;9.97624
08/07/2018; ;3.1697;3.1697;1.56255;1.56255;1.72326;1.72326;0;0;0.172326;0;1.05923;0.172326;10.324;10.324;10.3175;10.3175;10.3181;2.47367;10.3181
09/07/2018; ;3.16257;3.16257;1.77927;1.77927;1.9176;1.9176;0;0;0.19176;0;0.938681;0.19176;10.2402;10.2402;9.53312;9.53312;9.60383;2.19214;9.60383
10/07/2018; ;3.15532;3.15532;1.62354;1.62354;1.77672;1.77672;0;0;0.177672;0.00310345;0.897522;0.177672;10.1227;10.1227;10.0217;10.0217;10.0318;2.09602;10.0318
11/07/2018; ;3.14832;3.14832;1.96055;1.96055;2.07933;2.07933;0;0;0.207933;0;0.900871;0.207933;10.0524;10.0524;9.74207;9.74207;9.7731;2.10384;9.7731
12/07/2018; ;3.14192;3.14192;1.55967;1.55967;1.7179;1.7179;0;0;0.17179;0;0.86369;0.17179;9.92105;9.92105;9.19738;9.19738;9.26975;2.01701;9.26975
13/07/2018; ;3.13565;3.13565;1.97523;1.97523;2.09127;2.09127;0;0;0.209127;0;0.860726;0.209127;9.86504;9.86504;9.28051;9.28051;9.33896;2.01009;9.33896
14/07/2018; ;3.12902;3.12902;1.72989;1.72989;1.8698;1.8698;0;0;0.18698;0;0.791403;0.18698;9.74754;9.74754;9.01547;9.01547;9.08868;1.8482;9.08868
15/07/2018; ;3.12253;3.12253;1.2641;1.2641;1.44995;1.44995;0;0;0.144995;0;0.752097;0.144995;9.61207;9.61207;9.61207;9.61207;9.61207;1.7564;9.61207
16/07/2018; ;3.11625;3.11625;1.51723;1.51723;1.67713;1.67713;0;0;0.167713;1.48921;0.840627;0.167713;9.54373;9.54373;9.54373;9.54373;9.54373;1.96315;9.54373
