Streamflow Gauge Comparison
"Scenario: MySimulation170, Streamflow Gauge: Foz Rio Urubu Regionalizado 2"
Cubic Meters per Second
Statistic;Modeled;Observed
01/07/2018;2.96243;0
02/07/2018;2.58681;0
03/07/2018;2.49893;0
04/07/2018;2.99962;0
05/07/2018;2.91878;0
06/07/2018;2.52362;0
07/07/2018;2.63037;0
08/07/2018;3.0838;0
09/07/2018;2.44197;0
10/07/2018;2.97601;0.00310345
11/07/2018;2.77662;0
12/07/2018;2.39427;0
13/07/2018;2.50937;0
14/07/2018;2.3662;0
15/07/2018;3.01488;0
16/07/2018;3.005;1.48921
17/07/2018;2.65836;0
18/07/2018;2.655;0
19/07/2018;2.66486;0
20/07/2018;2.83121;0
21/07/2018;2.79287;0
22/07/2018;2.60244;0
23/07/2018;2.70843;0
24/07/2018;2.38632;0
25/07/2018;2.925;0
26/07/2018;2.91724;0
27/07/2018;2.90968;0
28/07/2018;2.90205;0
29/07/2018;2.89434;0
30/07/2018;2.88754;0
31/07/2018;2.88162;0
01/08/2018;2.40684;0
02/08/2018;2.41057;0
03/08/2018;2.41405;0
04/08/2018;2.41746;0
05/08/2018;2.42078;0
06/08/2018;2.42401;0
07/08/2018;2.42717;0
08/08/2018;2.43025;0
09/08/2018;2.43325;0
10/08/2018;2.43617;0
11/08/2018;2.43903;0
12/08/2018;2.44182;0
13/08/2018;2.44453;0.415789
14/08/2018;2.44717;0
15/08/2018;2.50345;0
16/08/2018;2.54909;0
17/08/2018;2.45481;0
18/08/2018;2.45722;0
19/08/2018;2.4596;0
20/08/2018;2.4619;0
21/08/2018;2.46412;0.335436
22/08/2018;2.46628;0
23/08/2018;2.46838;0
24/08/2018;2.47042;0
25/08/2018;2.4724;0
26/08/2018;2.47431;0
27/08/2018;2.47618;0
28/08/2018;2.47797;0.349332
29/08/2018;2.47971;0.699794
30/08/2018;2.48139;0
31/08/2018;2.48301;0.823598
01/09/2018;2.48457;1.15425
02/09/2018;2.48608;1.14591
03/09/2018;2.48754;1.11392
04/09/2018;2.48895;1.1028
05/09/2018;2.49031;1.11253
06/09/2018;2.49163;1.11253
07/09/2018;2.4929;1.11253
08/09/2018;2.49415;1.10558
09/09/2018;2.49534;1.07081
10/09/2018;2.49651;1.0722
11/09/2018;2.49763;1.04439
12/09/2018;2.49872;1.0429
13/09/2018;2.49977;1.043
14/09/2018;2.50078;1.04161
15/09/2018;2.50177;0.975553
16/09/2018;2.50271;0.973467
17/09/2018;2.50363;0.938005
18/09/2018;2.50451;0.956779
19/09/2018;2.50535;0.974162
20/09/2018;2.50617;0.916449
21/09/2018;2.50695;0.903662
22/09/2018;2.50771;0.903933
23/09/2018;2.50845;0.848307
24/09/2018;2.85308;0.857815
25/09/2018;2.51359;0.914363
26/09/2018;2.51423;0.903933
27/09/2018;2.51484;0.903933
28/09/2018;2.51542;0.848307
29/09/2018;2.51596;0.8344
30/09/2018;2.57479;0.8344
01/10/2018;2.5165;0.8344
02/10/2018;2.54003;0.866385
03/10/2018;2.51886;0.909496
04/10/2018;2.54527;0.874729
05/10/2018;2.70948;0.856651
06/10/2018;2.52372;0.864299
07/10/2018;2.53753;0
08/10/2018;2.52649;0.851088
09/10/2018;2.52761;0.8344
10/10/2018;2.52786;0.833705
11/10/2018;2.5281;0.819798
12/10/2018;2.53201;0.630667
13/10/2018;2.52852;0.661262
14/10/2018;2.5287;0.6258
15/10/2018;2.58633;0.626495
16/10/2018;2.54024;0.650134
17/10/2018;2.52984;0.691857
18/10/2018;2.59248;1.71752
19/10/2018;2.54502;1.82547
20/10/2018;2.56613;2.05353
21/10/2018;2.53342;2.03242
22/10/2018;2.57329;1.98522
23/10/2018;2.57455;2.03637
24/10/2018;2.57577;2.04125
25/10/2018;2.53733;1.98411
26/10/2018;2.53724;1.99013
27/10/2018;2.56164;2.18196
28/10/2018;2.82666;2.31838
29/10/2018;2.55103;2.57109
30/10/2018;2.62092;2.6391
31/10/2018;2.64785;0
01/11/2018;2.80495;2.70718
02/11/2018;2.86646;2.70676
03/11/2018;3.04388;2.7292
04/11/2018;3.26065;2.81537
05/11/2018;3.2621;2.97731
06/11/2018;4.51354;3.06484
07/11/2018;3.53832;3.30329
08/11/2018;4.19795;3.62199
09/11/2018;4.28467;4.46804
10/11/2018;4.04403;4.96459
11/11/2018;4.2277;5.44768
12/11/2018;4.11424;5.74161
13/11/2018;4.2246;3.43495
14/11/2018;4.27211;3.44329
15/11/2018;4.12548;3.59209
16/11/2018;4.22557;3.72421
17/11/2018;4.1586;3.94949
18/11/2018;4.1917;4.07674
19/11/2018;4.17197;4.19216
20/11/2018;4.18412;4.22971
21/11/2018;4.19546;4.30759
22/11/2018;4.26132;4.37295
23/11/2018;4.63152;4.38338
24/11/2018;4.54804;4.51828
25/11/2018;4.51458;4.31454
26/11/2018;5.44136;4.38338
27/11/2018;5.07135;4.52245
28/11/2018;4.90928;4.96677
29/11/2018;6.0137;5.72051
30/11/2018;7.5502;7.12717
01/12/2018;7.48799;8.45595
02/12/2018;8.17862;8.94685
03/12/2018;9.76768;9.36962
04/12/2018;11.6202;9.86261
05/12/2018;9.17651;10.3132
06/12/2018;8.37904;10.4738
07/12/2018;8.43986;10.3549
08/12/2018;8.39274;10.6351
09/12/2018;9.43882;12.201
10/12/2018;8.98202;13.6334
11/12/2018;9.59665;14.125
12/12/2018;9.53261;15.5833
13/12/2018;9.45826;18.0151
14/12/2018;9.37791;21.3225
15/12/2018;9.29971;21.6761
16/12/2018;9.21465;24.7753
17/12/2018;9.12767;59.3811
18/12/2018;9.04198;59.7691
19/12/2018;8.96156;56.9856
20/12/2018;9.09618;51.5572
21/12/2018;8.84236;45.6315
22/12/2018;13.5252;40.9811
23/12/2018;8.89487;38.2671
24/12/2018;9.15836;34.8785
25/12/2018;8.95705;31.0797
26/12/2018;9.04523;29.2557
27/12/2018;11.3829;26.8366
28/12/2018;13.9068;24.5933
29/12/2018;11.6503;24.9277
30/12/2018;11.0358;23.951
31/12/2018;18.7601;25.4905
01/01/2019;11.2496;30.1766
02/01/2019;11.0692;34.0374
03/01/2019;10.4671;35.1372
04/01/2019;10.251;36.5504
05/01/2019;10.1329;36.2005
06/01/2019;10.2322;34.7843
07/01/2019;11.0272;34.8924
08/01/2019;13.4853;33.0272
09/01/2019;10.1569;30.3946
10/01/2019;11.8766;27.9364
11/01/2019;12.2372;27.5252
12/01/2019;12.0233;24.2272
13/01/2019;9.49038;23.1102
14/01/2019;17.3055;25.9877
15/01/2019;17.3902;26.9557
16/01/2019;11.3856;27.9004
17/01/2019;10.7669;27.5749
18/01/2019;11.0853;28.5282
19/01/2019;9.16819;27.459
20/01/2019;10.1045;29.1255
21/01/2019;10.6793;28.8454
22/01/2019;9.70649;28.1245
23/01/2019;9.84004;24.4453
24/01/2019;9.78063;25.5361
25/01/2019;12.5564;23.6197
26/01/2019;13.5572;20.4779
27/01/2019;15.5172;19.0454
28/01/2019;16.5559;19.4217
29/01/2019;12.8011;19.9044
30/01/2019;11.528;20.2263
31/01/2019;10.8324;19.434
01/02/2019;29.1359;19.6388
02/02/2019;31.9141;18.9417
03/02/2019;27.296;17.1791
04/02/2019;27.3763;17.1962
05/02/2019;27.1157;15.94
06/02/2019;25.6046;14.6722
07/02/2019;29.5806;14.0032
08/02/2019;28.6093;15.8482
09/02/2019;26.6464;14.9419
10/02/2019;25.4053;17.7143
11/02/2019;27.1461;21.1823
12/02/2019;26.0291;22.1748
13/02/2019;25.0675;21.7765
14/02/2019;25.2885;22.6274
15/02/2019;24.362;20.9374
16/02/2019;23.5361;19.0644
17/02/2019;25.1707;19.0394
18/02/2019;26.7918;25.3242
19/02/2019;27.687;28.9888
20/02/2019;43.5989;32.2849
21/02/2019;31.5194;36.1435
